연번,위도,경도,보호구역아이디,시군구명,대상시설명,관할경찰서명,데이터기준일자
1,37.438489,127.168382,성남-01-001,성남시 중원구,중원초등학교,성남중원경찰서,2022-08-11
2,37.439075,127.168028,성남-01-001,성남시 중원구,중원초등학교,성남중원경찰서,2022-08-11
3,37.439039,127.168039,성남-01-001,성남시 중원구,중원초등학교,성남중원경찰서,2022-08-11
4,37.439023,127.167779,성남-01-001,성남시 중원구,중원초등학교,성남중원경찰서,2022-08-11
5,37.438545,127.166558,성남-01-001,성남시 중원구,중원초등학교,성남중원경찰서,2022-08-11
6,37.438491,127.166524,성남-01-001,성남시 중원구,중원초등학교,성남중원경찰서,2022-08-11
7,37.438392,127.166583,성남-01-001,성남시 중원구,중원초등학교,성남중원경찰서,2022-08-11
8,37.438171,127.166712,성남-01-001,성남시 중원구,중원초등학교,성남중원경찰서,2022-08-11
9,37.437508,127.167109,성남-01-001,성남시 중원구,중원초등학교,성남중원경찰서,2022-08-11
10,37.436952,127.167461,성남-01-001,성남시 중원구,중원초등학교,성남중원경찰서,2022-08-11
11,37.447151,127.168778,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
12,37.447285,127.169529,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
13,37.447303,127.169611,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
14,37.447366,127.169665,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
15,37.447359,127.169917,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
16,37.447871,127.172311,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
17,37.447038,127.169356,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
18,37.446865,127.169048,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
19,37.445821,127.169323,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
20,37.446031,127.169238,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
21,37.445745,127.167944,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
22,37.445783,127.167853,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
23,37.446921,127.168819,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
24,37.446973,127.169054,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
25,37.446761,127.168082,성남-01-002,성남시 중원구,하원초등학교,성남중원경찰서,2022-08-25
26,37.450108,127.166052,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
27,37.450845,127.166096,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
28,37.451275,127.167419,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
29,37.450966,127.166043,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
30,37.450913,127.165647,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
31,37.450989,127.166122,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
32,37.450757,127.166008,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
33,37.451418,127.165521,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
34,37.450981,127.165729,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
35,37.450855,127.165415,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
36,37.450788,127.165107,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
37,37.450102,127.162509,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
38,37.450106,127.162532,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
39,37.450482,127.164363,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
40,37.449838,127.166323,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
41,37.450058,127.166244,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
42,37.450031,127.166258,성남-01-003,성남시 중원구,중부초등학교,성남중원경찰서,2022-08-25
43,37.442842,127.180951,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
44,37.442736,127.181202,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
45,37.442736,127.181216,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
46,37.443493,127.181224,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
47,37.443921,127.179711,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
48,37.442521,127.179081,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
49,37.442509,127.179303,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
50,37.441563,127.179211,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
51,37.441611,127.179047,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
52,37.441494,127.178962,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
53,37.442861,127.180584,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
54,37.442861,127.180569,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
55,37.442854,127.180584,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
56,37.442791,127.179434,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
57,37.442444,127.180431,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
58,37.442126,127.180545,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
59,37.441451,127.180442,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
60,37.441446,127.180459,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
61,37.441451,127.180414,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
62,37.441371,127.179527,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
63,37.440725,127.179104,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
64,37.441664,127.178083,성남-01-004,성남시 중원구,상대원초등학교,성남중원경찰서,2022-08-04
65,37.414017,127.156834,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
66,37.413758,127.158332,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
67,37.414274,127.158718,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
68,37.414834,127.159132,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
69,37.415086,127.159307,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
70,37.414658,127.159205,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
71,37.414224,127.158933,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
72,37.413392,127.159001,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
73,37.413852,127.158641,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
74,37.413741,127.158553,성남-01-005,성남시 중원구,도촌초등학교,성남중원경찰서,2022-08-04
75,37.334296,127.118297,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
76,37.335642,127.117582,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
77,37.335678,127.117554,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
78,37.335953,127.117738,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
79,37.335956,127.117735,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
80,37.335569,127.118064,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
81,37.336582,127.116982,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
82,37.336404,127.116692,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
83,37.336573,127.116495,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
84,37.337361,127.116013,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
85,37.340041,127.115952,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
86,37.337931,127.113475,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
87,37.337974,127.117016,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
88,37.337975,127.117901,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
89,37.338017,127.118861,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
90,37.338968,127.120338,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
91,37.338291,127.118851,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
92,37.338254,127.118229,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
93,37.338255,127.117462,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
94,37.337941,127.118954,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
95,37.337575,127.119131,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
96,37.337515,127.119131,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
97,37.337439,127.118958,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
98,37.337116,127.119121,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
99,37.336373,127.118757,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
100,37.336925,127.119083,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
101,37.336749,127.119009,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
102,37.335899,127.118078,성남-01-006,성남시 분당구,구미초등학교,분당경찰서,2022-08-26
103,37.373969,127.120168,성남-01-007,성남시 분당구,내정초등학교,분당경찰서,2022-08-29
104,37.373591,127.120579,성남-01-007,성남시 분당구,내정초등학교,분당경찰서,2022-08-29
105,37.372354,127.121994,성남-01-007,성남시 분당구,내정초등학교,분당경찰서,2022-08-29
106,37.372119,127.122236,성남-01-007,성남시 분당구,내정초등학교,분당경찰서,2022-08-29
107,37.373649,127.122044,성남-01-007,성남시 분당구,내정초등학교,분당경찰서,2022-08-29
108,37.372977,127.123065,성남-01-007,성남시 분당구,내정초등학교,분당경찰서,2022-08-29
109,37.408545,127.129227,성남-01-008,성남시 분당구,돌마초등학교,분당경찰서,2022-07-27
110,37.409509,127.129497,성남-01-008,성남시 분당구,돌마초등학교,분당경찰서,2022-07-27
111,37.409725,127.130045,성남-01-008,성남시 분당구,돌마초등학교,분당경찰서,2022-07-27
112,37.409665,127.130728,성남-01-008,성남시 분당구,돌마초등학교,분당경찰서,2022-07-27
113,37.409834,127.131358,성남-01-008,성남시 분당구,돌마초등학교,분당경찰서,2022-07-27
114,37.409732,127.132002,성남-01-008,성남시 분당구,돌마초등학교,분당경찰서,2022-07-27
115,37.409675,127.132369,성남-01-008,성남시 분당구,돌마초등학교,분당경찰서,2022-07-27
116,37.409606,127.131169,성남-01-008,성남시 분당구,돌마초등학교,분당경찰서,2022-07-27
117,37.350263,127.115824,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
118,37.349346,127.115911,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
119,37.348242,127.115914,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
120,37.347136,127.115918,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
121,37.346753,127.116276,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
122,37.347981,127.116275,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
123,37.349241,127.116272,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
124,37.349909,127.115906,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
125,37.346627,127.118355,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
126,37.346626,127.118906,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
127,37.346393,127.118465,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
128,37.346387,127.117111,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
129,37.346265,127.114907,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
130,37.369057,127.111715,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
131,37.371209,127.111648,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
132,37.371348,127.111941,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
133,37.371294,127.111705,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
134,37.371839,127.112289,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
135,37.371921,127.112099,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
136,37.372059,127.112236,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
137,37.372145,127.112366,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
138,37.373211,127.113875,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
139,37.373978,127.112702,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
140,37.373065,127.111442,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
141,37.372754,127.111001,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
142,37.372431,127.110864,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
143,37.372251,127.110613,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
144,37.380048,127.128897,성남-01-011,성남시 분당구,분당초등학교,분당경찰서,2022-08-31
145,37.379891,127.129117,성남-01-011,성남시 분당구,분당초등학교,분당경찰서,2022-08-31
146,37.379813,127.129201,성남-01-011,성남시 분당구,분당초등학교,분당경찰서,2022-08-31
147,37.379679,127.129371,성남-01-011,성남시 분당구,분당초등학교,분당경찰서,2022-08-31
148,37.379176,127.130081,성남-01-011,성남시 분당구,분당초등학교,분당경찰서,2022-08-31
149,37.379101,127.130205,성남-01-011,성남시 분당구,분당초등학교,분당경찰서,2022-08-31
150,37.379053,127.130631,성남-01-011,성남시 분당구,분당초등학교,분당경찰서,2022-08-31
151,37.378631,127.131028,성남-01-011,성남시 분당구,분당초등학교,분당경찰서,2022-08-31
152,37.377864,127.131931,성남-01-011,성남시 분당구,분당초등학교,분당경찰서,2022-08-31
153,37.418869,127.130849,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
154,37.418908,127.132354,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
155,37.419191,127.132358,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
156,37.419627,127.132358,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
157,37.420069,127.132362,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
158,37.419944,127.132452,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
159,37.419942,127.132559,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
160,37.419872,127.132449,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
161,37.419827,127.132449,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
162,37.419782,127.132452,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
163,37.419433,127.132471,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
164,37.419147,127.132448,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
165,37.418871,127.132444,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
166,37.418876,127.132625,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
167,37.418864,127.133803,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
168,37.418573,127.136189,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
169,37.418383,127.136166,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
170,37.418832,127.134939,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
171,37.418679,127.134111,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
172,37.418674,127.133786,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
173,37.418692,127.132549,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
174,37.418692,127.132184,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
175,37.418692,127.131893,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
176,37.418693,127.131142,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
177,37.418696,127.130877,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
178,37.417464,127.134046,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
179,37.360317,127.115034,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
180,37.361594,127.115022,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
181,37.361826,127.114631,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
182,37.363081,127.114629,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
183,37.361786,127.114591,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
184,37.405574,127.127698,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
185,37.405578,127.127382,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
186,37.405298,127.127144,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
187,37.405307,127.126772,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
188,37.405291,127.125007,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
189,37.407214,127.125284,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
190,37.407292,127.125536,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
191,37.407257,127.125284,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
192,37.409102,127.124831,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
193,37.356874,127.106119,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
194,37.357507,127.106106,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
195,37.357649,127.106106,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
196,37.357744,127.105881,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
197,37.358338,127.106101,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
198,37.358424,127.105876,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
199,37.358548,127.105871,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
200,37.359283,127.105868,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
201,37.359728,127.106249,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
202,37.360062,127.105785,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
203,37.361585,127.105855,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
204,37.396128,127.115208,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
205,37.396315,127.115597,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
206,37.396127,127.115696,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
207,37.395556,127.117021,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
208,37.397007,127.116622,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
209,37.394412,127.117019,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
210,37.394461,127.118555,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
211,37.396161,127.117174,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
212,37.391046,127.079376,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
213,37.390971,127.079364,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
214,37.390754,127.079406,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
215,37.390535,127.079999,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
216,37.390297,127.081021,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
217,37.390121,127.081627,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
218,37.390531,127.081512,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
219,37.389808,127.081351,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
220,37.389495,127.081039,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
221,37.388861,127.080821,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
222,37.388658,127.080991,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
223,37.388571,127.081109,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
224,37.388571,127.081109,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
225,37.388647,127.080079,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
226,37.389022,127.078185,성남-01-017,성남시 분당구,산운초등학교,분당경찰서,2022-09-02
