시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭
초등학교,중원초등학교,경기도 성남시 중원구 사기막골로31번길 46,경기도 성남시 중원구 상대원동 153,37.437855,127.167857,성남중원경찰서,Y,3,4~6
초등학교,하원초등학교,경기도 성남시 중원구 광명로 396,경기도 성남시 중원구 금광동 2412,37.446255,127.170236,성남중원경찰서,Y,2,4~12
초등학교,중부초등학교,경기도 성남시 중원구 자혜로 55,경기도 성남시 중원구 은행동 1932-7,37.451546,127.164951,성남중원경찰서,Y,4,8~12
초등학교,상대원초등학교,경기도 성남시 중원구 순환로 214번길 16,경기도 성남시 중원구 상대원동 54,37.442382,127.181591,성남중원경찰서,Y,3,4~8
초등학교,도촌초등학교,경기도 성남시 중원구 도촌남로 99,경기도 성남시 중원구 도촌동 646,37.41473,127.158024,성남중원경찰서,Y,4,8~14
초등학교,구미초등학교,경기도 성남시 분당구 미금로22번길 25,경기도 성남시 분당구 구미동 215,37.337756,127.118398,분당경찰서,Y,3,15~30
초등학교,내정초등학교,경기도 성남시 분당구 내정로 174번길 19,경기도 성남시 분당구 수내동 57,37.372402,127.122264,분당경찰서,Y,2,15
초등학교,돌마초등학교,경기도 성남시 분당구 야탑로97번길 7,경기도 성남시 분당구 야탑동 515,37.409099,127.130378,분당경찰서,Y,3,7~18
초등학교,미금초등학교,경기도 성남시 분당구 미금로 151,경기도 성남시 분당구 구미동 68,37.347422,127.115303,분당경찰서,Y,5,30
초등학교,백현초등학교,경기도 성남시 분당구 백현로 144번길 26,경기도 성남시 분당구 정자동 76,37.372193,127.111168,분당경찰서,Y,2,8
초등학교,분당초등학교,경기도 성남시 분당구 중앙공원로 32번길 20,경기도 성남시 분당구 서현동 92-1,37.378988,127.129653,분당경찰서,Y,3,9
초등학교,성남여수초등학교,경기도 성남시 중원구 여수울로 37,경기도 성남시 중원구 여수동 577,37.419449,127.133081,성남중원경찰서,Y,5,18~23
초등학교,탄천초등학교,경기도 성남시 분당구 내정로 20,경기도 성남시 분당구 정자동 195,37.361599,127.115645,분당경찰서,Y,3,30
초등학교,하탑초등학교,경기도 성남시 분당구 양현로 262,경기도 성남시 분당구 야탑동 531,37.407326,127.126613,분당경찰서,Y,3,12
초등학교,늘푸른초등학교,경기도 성남시 분당구 백궁로 247,경기도 성남시 분당구 정자동 178-5,37.358334,127.105671,분당경찰서,Y,3,20
초등학교,보평초등학교,경기도 성남시 분당구 동판교로 154,경기도 성남시 분당구 삼평동 743,37.396039,127.117758,분당경찰서,Y,6,12~26
초등학교,산운초등학교,경기도 성남시 분당구 판교로117번길 11,경기도 성남시 분당구 운중동 927,37.389753,127.079005,분당경찰서,Y,9,8~13
초등학교,운중초등학교,경기도 성남시 분당구 운중로 45번길 8,경기도 성남시 분당구 운중동 893,37.392419,127.06894,분당경찰서,Y,10,8~31
초등학교,낙생초등학교,경기도 성남시 분당구 서판교로74번길 11,경기도 성남시 분당구 판교동 551,37.394357,127.098914,분당경찰서,Y,12,9~22
초등학교,신백현초등학교,경기도 성남시 분당구 판교역로14번길 42,경기도 성남시 분당구 백현동 559,37.387579,127.111751,분당경찰서,Y,3,15~32
초등학교,성남화랑초등학교,경기도 성남시 분당구 동판교로 77,경기도 성남시 분당구 백현동 547,37.390224,127.115888,분당경찰서,Y,1,26
초등학교,성남은행초등학교,경기도 성남시 중원구 순환로 447번길 11,경기도 성남시 중원구 은행동 652,37.461002,127.170901,성남중원경찰서,Y,4,4~6
초등학교,성남중앙초등학교,경기도 성남시 중원구 원터로 94번길 7,경기도 성남시 중원구 성남동 2580,37.436255,127.143529,성남중원경찰서,Y,5,4~8
초등학교,단남초등학교,경기도 성남시 중원구 광명로 300번길 25,경기도 성남시 중원구 금광동 210,37.442905,127.161374,성남중원경찰서,Y,2,6
초등학교,대원초등학교,경기도 성남시 중원구 희망로343번길 24,경기도 성남시 중원구 상대원동 4251,37.436671,127.155099,성남중원경찰서,Y,6,4~6
초등학교,대일초등학교,경기도 성남시 중원구 금상로 55번길 22,경기도 성남시 중원구 상대원동 2511,37.438468,127.164185,성남중원경찰서,Y,3,4~5
초등학교,대하초등학교,경기도 성남시 중원구 시민로 14,경기도 성남시 중원구 하대원동 167-2,37.431908,127.151304,성남중원경찰서,Y,3,8~20
초등학교,성남제일초등학교,경기도 성남시 중원구 광명로 184번길 23,경기도 성남시 중원구 중앙동 2970,37.438906,127.149609,성남중원경찰서,Y,2,4~12
초등학교,성남북초등학교,경기도 성남시 수정구 희망로534번길 3,경기도 성남시 수정구 산성동 2137,37.4515,127.151474,성남수정경찰서,Y,6,5~15
초등학교,성남수정초등학교,경기도 성남시 수정구 제일로 123번길 9,경기도 성남시 수정구 수진동 4347,37.436212,127.132786,성남수정경찰서,Y,6,4~12
초등학교,수진초등학교,경기도 성남시 수정구 탄리로 95번길 16,경기도 성남시 수정구 태평동 3756,37.444944,127.133465,성남수정경찰서,Y,10,5~14
초등학교,희망대초등학교,경기도 성남시 수정구 공원로 370번길 29,경기도 성남시 수정구 신흥동 1232,37.447498,127.149115,성남수정경찰서,Y,5,4~9
초등학교,성남서초등학교,경기도 성남시 수정구 태평로 19,경기도 성남시 수정구 태평동 5090-1,37.448545,127.129403,성남수정경찰서,Y,4,8~12
초등학교,성남신흥초등학교,경기도 성남시 수정구 공원로 436번길 17,경기도 성남시 수정구 신흥동 47-3,37.450552,127.143485,성남수정경찰서,Y,2,8
초등학교,단대초등학교,경기도 성남시 수정구 단대로 30,경기도 성남시 수정구 단대동 77,37.453611,127.157748,성남수정경찰서,Y,9,4~8
초등학교,복정초등학교,경기도 성남시 수정구 성남대로 1480번길 25,경기도 성남시 수정구 복정동 665,37.46247,127.130386,성남수정경찰서,Y,6,6~7
초등학교,성남양지초등학교,경기도 성남시 수정구 논골로 36번길 33,경기도 성남시 수정구 양지동 386,37.459218,127.160884,성남수정경찰서,Y,3,4~6
초등학교,위례고운초등학교,경기도 성남시 수정구 위례순환로 155,경기도 성남시 수정구 창곡동 511,37.471437,127.145794,성남수정경찰서,N,0,16
초등학교,위례한빛초등학교,경기도 성남시 수정구 위례동로 55,경기도 성남시 수정구 창곡동 570,37.465766,127.147017,성남수정경찰서,Y,1,9.5
초등학교,위례푸른초등학교,경기도 성남시 수정구 위례순환로 205,경기도 성남시 수정구 창곡동 518,37.470731,127.150981,성남수정경찰서,N,0,9.5~16
초등학교,위례중앙초등학교,경기도 성남시 수정구 위례순환로 71,경기도 성남시 수정구 창곡동 27,37.471899,127.135874,성남수정경찰서,Y,1,25~44
초등학교,금상초등학교,경기도 성남시 중원구 금상로 97,경기도 성남시 중원구 금광동 1645,37.443599,127.165995,성남중원경찰서,Y,9,4~12
초등학교,상원초등학교,경기도 성남시 중원구 은행로 6,경기도 성남시 중원구 은행동 421,37.453884,127.162776,성남중원경찰서,Y,5,8~12
초등학교,불정초등학교,경기도 성남시 분당구 돌마로 250,경기도 성남시 분당구 정자동 203,37.361254,127.119496,분당경찰서,Y,3,35
초등학교,상탑초등학교,경기도 성남시 분당구 판교로 647,경기도 성남시 분당구 야탑동 161,37.406207,127.145695,분당경찰서,Y,2,8~17
초등학교,서현초등학교,경기도 성남시 분당구 중앙공원로 39번길 12,경기도 성남시 분당구 서현동 87-1,37.382576,127.12855,분당경찰서,Y,3,12
초등학교,성남신기초등학교,경기도 성남시 분당구 황새울로 74,경기도 성남시 분당구 정자동 89,37.366582,127.11106,분당경찰서,Y,3,20
초등학교,성남장안초등학교,경기도 성남시 분당구 장안로 51번길 10,경기도 성남시 분당구 분당동 91,37.372662,127.144459,분당경찰서,Y,3,14
초등학교,안말초등학교,경기도 성남시 분당구 양현로 104,경기도 성남시 분당구 이매동 118,37.393154,127.125984,분당경찰서,Y,2,12~15
초등학교,야탑초등학교,경기도 성남시 분당구 양현로 400,경기도 성남시 분당구 야탑동 333,37.416616,127.125627,분당경찰서,Y,8,12
초등학교,오리초등학교,경기도 성남시 분당구 미금로 121,경기도 성남시 분당구 구미동 115,37.344351,127.115379,분당경찰서,Y,3,30
초등학교,이매초등학교,경기도 성남시 분당구 양현로 146,경기도 성남시 분당구 이매동 112,37.39721,127.126493,분당경찰서,Y,2,12
초등학교,청솔초등학교,경기도 성남시 분당구 금곡로 243,경기도 성남시 분당구 금곡동 131,37.354657,127.1141,분당경찰서,Y,3,25
초등학교,당촌초등학교,경기도 성남시 분당구 분당로 196,경기도 성남시 분당구 분당동 36,37.373689,127.131262,분당경찰서,Y,3,24
초등학교,한솔초등학교,경기도 성남시 분당구 돌마로 303,경기도 성남시 분당구 정자동 113,37.366777,127.118015,분당경찰서,Y,1,35
초등학교,수내초등학교,경기도 성남시 분당구 백현로 243번길 12,경기도 성남시 분당구 수내동 81,37.367765,127.124663,분당경찰서,Y,3,8
초등학교,성남송현초등학교,경기도 성남시 분당구 동판교로 258,경기도 성남시 분당구 삼평동 710,37.405458,127.116346,분당경찰서,Y,5,26~32
초등학교,판교초등학교,경기도 성남시 분당구 판교원로 231,경기도 성남시 분당구 판교동 636,37.387282,127.091443,분당경찰서,Y,5,13~15
초등학교,성남동초등학교,경기도 성남시 중원구 자혜로 32번길 10,경기도 성남시 중원구 금광동 3365,37.449215,127.162178,성남중원경찰서,Y,5,4~6
초등학교,태평초등학교,경기도 성남시 수정구 남문로 32번길 7,경기도 성남시 수정구 태평동 3743,37.444953,127.131694,성남수정경찰서,Y,6,4~14
초등학교,성수초등학교,경기도 성남시 수정구 모란로 11,경기도 성남시 수정구 수진동 4786,37.433766,127.127238,성남수정경찰서,Y,9,6
초등학교,금빛초등학교,경기도 성남시 수정구 남문로 112,경기도 성남시 수정구 태평동 7289,37.447331,127.140567,성남수정경찰서,Y,7,4~9
초등학교,왕남초등학교,경기도 성남시 수정구 대왕판교로 959번길 48,경기도 성남시 수정구 고등동 460,37.428469,127.098687,성남수정경찰서,Y,5,4~5
초등학교,성남초등학교,경기도 성남시 수정구 수정로 233,경기도 성남시 수정구 태평동 7326,37.446085,127.144145,성남수정경찰서,Y,4,4~20
초등학교,검단초등학교,경기도 성남시 중원구 원터로 25,경기도 성남시 중원구 하대원동 123,37.429483,127.144034,성남중원경찰서,Y,4,7
초등학교,불곡초등학교,경기도 성남시 분당구 무지개로 129,경기도 성남시 분당구 구미동 241,37.340984,127.11973,분당경찰서,Y,3,20
초등학교,서당초등학교,경기도 성남시 분당구 돌마로 476번길 30,경기도 성남시 분당구 서현동 303,37.374602,127.134587,분당경찰서,Y,3,8
초등학교,성남매송초등학교,경기도 성남시 분당구 탄천로 97,경기도 성남시 분당구 이매동 136,37.402183,127.122403,분당경찰서,Y,3,13
초등학교,성남정자초등학교,경기도 성남시 분당구 분당수서로 442,경기도 성남시 분당구 정자동 6-2,37.374517,127.104912,분당경찰서,Y,2,12~20
초등학교,양영초등학교,경기도 성남시 분당구 불정로 406번길 17,경기도 성남시 분당구 서현동 319,37.37466,127.140091,분당경찰서,Y,4,8~9
초등학교,중탑초등학교,경기도 성남시 분당구 벌말로 68,경기도 성남시 분당구 야탑동 212,37.413924,127.139686,분당경찰서,Y,2,18
초등학교,초림초등학교,경기도 성남시 분당구 수내로 90번길 26,경기도 성남시 분당구 수내동 35,37.376826,127.117592,분당경찰서,Y,3,8
초등학교,판교대장초등학교,경기도 성남시 분당구 판교대장로 5길 71,경기도 성남시 분당구 대장동 155번지,37.368279,127.069713,분당경찰서,Y,3,18
유치원,미래유치원,경기도 성남시 수정구 수정로 332번길 6-4,경기도 성남시 수정구 산성동 2120,37.452885,127.150066,성남수정경찰서,Y,4,4
유치원,성체유치원,경기도 성남시 수정구 탄리로 39,경기도 성남시 수정구 수진동 664-2,37.439656,127.137203,성남수정경찰서,Y,4,5
유치원,신흥성모유치원,경기도 성남시 수정구 공원로 432,경기도 성남시 수정구 신흥동 89,37.449077,127.143242,성남수정경찰서,Y,1,30
유치원,은솔유치원,경기도 성남시 수정구 위례서일로1길 24,경기도 성남시 수정구 창곡동 538-3,37.467824,127.138154,성남수정경찰서,N,0,7~10
유치원,위례새초롱유치원,경기도 성남시 수정구 위례순환로4길 2,경기도 성남시 수정구 창곡동 167-14,37.469683,127.147866,성남수정경찰서,N,0,10
유치원,위례하늘유치원,경기도 성남시 수정구 위례동이로 14,경기도 성남시 수정구 창곡동 599,37.467037,127.151134,성남수정경찰서,Y,1,10
유치원,고등나래 유치원,경기도 성남시 수정구 청계산로 2길 34,경기도 성남시 수정구 고등동 598,37.426969,127.096496,성남수정경찰서,N,0,8
유치원,은서유치원,경기도 성남시 수정구 탄리로 95번길 7-17,경기도 성남시 수정구 태평동 3558,37.443605,127.134977,성남수정경찰서,Y,4,4
유치원,선경유치원,경기도 성남시 중원구 자혜로 17번길 16,경기도 성남시 중원구 은행동 1932-6,37.450411,127.162262,성남중원경찰서,Y,4,12
유치원,예원유치원,경기도 성남시 중원구 원터로 93번길 3,경기도 성남시 중원구 성남동 2894,37.435032,127.143201,성남중원경찰서,Y,5,6
유치원,다솜유치원,경기도 성남시 중원구 산성대로 408번길 48,경기도 성남시 중원구 금광동 3490,37.447962,127.163685,성남중원경찰서,Y,1,5
유치원,도촌유치원,경기도 성남시 중원구 도촌남로 22-1,경기도 성남시 중원구 도촌동 506,37.413897,127.149775,성남중원경찰서,N,0,12~18
유치원,아름다운유치원,경기도 성남시 분당구 수내로 192번길 25,경기도 성남시 분당구 수내동 75,37.367591,127.125773,분당경찰서,Y,3,8
유치원,안촌 유치원,경기도 성남시 분당구 느티로 70,경기도 성남시 분당구 정자동 88,37.368171,127.110392,분당경찰서,Y,1,13
유치원,세화유치원,경기도 성남시 분당구 불정로 362,경기도 성남시 분당구 서현동 308,37.372737,127.136164,분당경찰서,Y,5,6
유치원,분당중앙유치원,경기도 성남시 분당구 분당로 263번길 61,경기도 성남시 분당구 서현동 315-2,37.373451,127.141671,분당경찰서,Y,1,10
유치원,꿈터 유치원,경기도 성남시 분당구 미금일로 58,경기도 성남시 분당구 구미동 65,37.347269,127.113122,분당경찰서,Y,1,7
유치원,배성유치원,경기도 성남시 분당구 판교로 624-1,경기도 성남시 분당구 야탑동 397,37.405999,127.142401,분당경찰서,Y,1,17
유치원,이솔유치원,경기도 성남시 분당구 미금로 232,경기도 성남시 분당구 금곡동 133-1,37.352756,127.112602,분당경찰서,Y,5,24
유치원,성모 유치원,경기도 성남시 분당구 구미로 130번길 20,경기도 성남시 분당구 구미동 238,37.340099,127.124419,분당경찰서,Y,4,8
유치원,판교샘유치원,경기도 성남시 분당구 산운로 98,경기도 성남시 분당구 운중동 956,37.392021,127.072039,분당경찰서,Y,1,7
유치원,건영장안유치원,경기도 성남시 분당구 장안로 25번길 28,경기도 성남시 분당구 분당동 67,37.371127,127.140849,분당경찰서,Y,1,12
유치원,뽀뽀뽀유치원,경기도 성남시 분당구 양현로 507,경기도 성남시 분당구 야탑동 207-2,37.415425,127.138017,분당경찰서,Y,4,12
유치원,창조유치원,경기도 성남시 분당구 불곡로17번길 8,경기도 성남시 분당구 정자동 229-13,37.359154,127.124992,분당경찰서,Y,1,6
유치원,해나유치원,경기도 성남시 분당구 서판교로44번길 3,경기도 성남시 분당구 판교동 577,37.390831,127.09829,분당경찰서,Y,1,6
유치원,꾸러기유치원,경기도 성남시 분당구 양현로 220,경기도 성남시 분당구 이매동 99,37.403847,127.127335,분당경찰서,Y,5,22
유치원,샛별유치원,경기도 성남시 분당구 수내로 201,경기도 성남시 분당구 분당동 39,37.371468,127.129754,분당경찰서,Y,1,38
유치원,성마르코유치원,경기도 성남시 분당구 매화로37번길 6,경기도 성남시 분당구 야탑동 389,37.410832,127.133182,분당경찰서,Y,1,6~12
유치원,은혜유치원,경기도 성남시 분당구 내정로7번길 24,경기도 성남시 분당구 정자동 144,37.360908,127.111946,분당경찰서,Y,1,6~14
유치원,숲리라유치원,경기도 성남시 수정구 위례순환로4길 2,경기도 성남시 수정구 판교동 532-1,37.469683,127.147866,분당경찰서,Y,1,6~10
유치원,즐거운유치원,경기도 성남시 분당구 미금로 215,경기도 성남시 분당구 금곡동 141,37.351408,127.111941,분당경찰서,Y,1,15
유치원,희영유치원,경기도 성남시 분당구 동판교로 49,경기도 성남시 분당구 백현동 553-2,37.388294,127.114186,분당경찰서,N,0,13~23
유치원,혜성유치원,경기도 성남시 중원구 광명로 308,경기도 성남시 중원구 금광동 351,37.444509,127.160252,성남 중원 경찰서,N,0,6~9
어린이집,단대어린이집,경기도 성남시 수정구 희망로506번길 21,경기도 성남시 수정구 단대동 129,37.449645,127.155665,성남수정경찰서,Y,1,5
어린이집,산성어린이집,경기도 성남시 수정구 수정남로 269,경기도 성남시 수정구 산성동 2115,37.453007,127.150387,성남수정경찰서,Y,4,6~9
어린이집,성남어린이집,경기도 성남시 수정구 시민로222번길 6,경기도 성남시 수정구 태평동 7292,37.447702,127.141485,성남수정경찰서,Y,1,5
어린이집,성현어린이집,경기도 성남시 수정구 탄리로17번길 6,경기도 성남시 수정구 수진동 1921,37.438454,127.138715,성남수정경찰서,Y,1,4
어린이집,신흥제2어린이집,경기도 성남시 수정구 수정로257번길 18,경기도 성남시 수정구 신흥동 50,37.449202,127.144413,성남수정경찰서,Y,1,4
어린이집,리플플러스어린이집,경기도 성남시 수정구 성남대로1250번길 7-2,경기도 성남시 수정구 태평동 6151-3,37.44181,127.128384,성남수정경찰서,Y,1,5
어린이집,한양어린이집,경기도 성남시 수정구 성남대로 1185,경기도 성남시 수정구 수진동 4615-1,37.435594,127.1281,성남수정경찰서,Y,1,11
어린이집,신흥제3어린이집,경기도 성남시 수정구 공원로349번길 8,경기도 성남시 수정구 신흥동 4900,37.443531,127.148854,성남수정경찰서,Y,1,5
어린이집,복정어린이집,경기도 성남시 수정구 복정로96번길 30-1,경기도 성남시 수정구 복정동 667,37.461129,127.130488,성남수정경찰서,Y,4,7
어린이집,복정2어린이집,경기도 수정구 복정로 118번길 20,경기도 성남시 수정구 복정동 657-1,37.463264,127.129126,성남수정경찰서,N,0,4
어린이집,아이세상 어린이집,경기도 성남시 수정구 수정로 135번길5-1,경기도 성남시 수정구 태평동 3660,37.4422,127.134779,성남수정경찰서,N,0,
어린이집,다솜어린이집,경기도 성남시 중원구 박석로 14,경기도 성남시 중원구 상대원동 1125-11,37.434004,127.166096,성남중원경찰서,Y,1,8
어린이집,중앙동어린이집,경기도 성남시 중원구 광명로264번길 9,경기도 성남시 중원구 중앙동 709,37.442671,127.156555,성남중원경찰서,Y,1,6~9
어린이집,금광2동제2어린이집,경기도 성남시 중원구 산성대로420번길 36,경기도 성남시 중원구 금광동 3386,37.448432,127.163031,성남중원경찰서,Y,1,3
어린이집,하대원어린이집,경기도 성남시 중원구 마지로155번길 27,경기도 성남시 중원구 하대원동 155-8,37.427838,127.149429,성남중원경찰서,Y,1,4
어린이집,서광어린이집,경기도 성남시 분당구 판교로 685,경기도 성남시 분당구 야탑동 152,37.405702,127.14948,분당경찰서,Y,4,17
어린이집,분당어린이집,경기도 성남시 분당구 장안로26번길 12,경기도 성남시 분당구 분당동 156,37.368598,127.143274,분당경찰서,Y,1,6
어린이집,판교어린이집,경기도 성남시 분당구 판교원로 200,경기도 성남시 분당구 판교동 632,37.385948,127.088207,분당경찰서,Y,1,7
어린이집,서현어린이집,경기도 성남시 분당구 중앙공원로31번길 32,경기도 성남시 분당구 서현동 89-4,37.382447,127.126079,분당경찰서,Y,4,6
어린이집,성남생명숲어린이집,경기도 성남시 분당구 내정로119번길 2,경기도 성남시 분당구 정자동 52,37.371025,127.115253,분당경찰서,Y,1,10
어린이집,갈보리어린이집,경기도 성남시 분당구 이매로132,경기도 성남시 분당구 이매동 360-1,37.390494,127.132889,분당경찰서,Y,3,8~15
어린이집,휴맥스어린이집,경기도 성남시 분당구 궁내로 52,경기도 성남시 분당구 궁내동 350-5,37.370358,127.095881,분당경찰서,N,0,9
어린이집,늘사랑어린이집,경기도 성남시 분당구 야탑로 20,경기도 성남시 분당구 야탑동 536,37.408334,127.122855,분당경찰서,Y,1,15
어린이집,삼평어린이집,경기도 성남시 분당구 동판교로 268,경기도 성남시 분당구 삼평동 711,37.406109,127.115836,분당경찰서,Y,1,8
어린이집,판교제2어린이집,경기도 성남시 분당구 운중로225번길 37,경기도 성남시 분당구 판교동 553,37.391851,127.090871,분당경찰서,Y,1,6
어린이집,수내동어린이집,경기도 성남시 분당구 황새울로240번길 10-5,경기도 성남시 분당구 수내동 12-3,37.379099,127.114714,분당경찰서,Y,1,15
어린이집,구미동어린이집,경기도 성남시 분당구 금곡로25번길 10,경기도 성남시 분당구 구미동 119,37.344538,127.112319,분당경찰서,N,0,15
어린이집,예림어린이집,경기도 성남시 수정구 산성대로437번길7,경기도 성남시 수정구 단대동 100,37.450823,127.157599,성남수정경찰서,N,0,7
어린이집,보듬이나눔이어린이집,경기도 성남시 분당구 야탑로 303,경기도 성남시 분당구 야탑동 195,37.4065,127.151955,분당경찰서,N,0,20
어린이집,운중하나어린이집,경기도 성남시 분당구 판교원로 52,경기도 성남시 분당구 운중동921-9,37.389574,127.072072,분당경찰서,Y,2,10
어린이집,푸르니이매어린이집,경기도 성남시 분당구 이매로 89번길 16,경기도 성남시 분당구 이매동 268-12,37.3938,127.13236,분당경찰서,N,0,8
특수학교,성남혜은학교,경기도 성남시 수정구 희망로518번길 8,경기도 성남시 수정구 단대동 192,37.450396,127.153922,성남수정경찰서,Y,4,7
특수학교,성은특수학교,경기도 성남시 분당구 돌마로 866,경기도 성남시 분당구 야탑동 172,37.409122,127.143952,분당경찰서,Y,4,26
특수학교,서울국제학교,경기도 성남시 수정구 성남대로 1518번길 15,경기도 성남시 수정구 복정동 388-14,37.465792,127.128438,성남수정경찰서,N,0,6
학원,케이디엘피어학원,경기도 성남시 분당구 서현로 181,경기도 성남시 분당구 이매동 124,37.389127,127.124549,분당경찰서,N,0,20
어린이집,산성3어린이집,경기도 성남시 수정구 수정로 456번길 19,경기도 성남시 수정구 산성동 산6,37.460461,127.155653,성남수정경찰서,N,0,8
