구분,도로명,포장도_1차로,포장도_2차로,포장도_3차로,포장도_4차로,포장도_5차로,포장도_6차로,포장도_7차로,포장도_8차로,포장도_9차로,포장도_10차로,포장도_11차로,포장도_12차로,포장도_13차로,포장도_14차로,포장도_15차로,포장도_16차로,미포장도,미개통도,데이터기준일자
고속국도,제 171 호선,0,0,0,3750,0,7630,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
고속국도,제 100 호선,0,0,0,0,0,0,0,14050,0,0,0,0,0,0,0,0,0,0,2025-06-05
고속국도,제 1 호선,0,0,0,0,0,0,0,6800,0,4280,0,0,0,0,0,0,0,0,2025-06-05
일반국도,제 3 호선,0,0,0,5200,0,4700,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
지방도,제 338 호선,0,5744,0,1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
지방도,제 342 호선,0,3490,0,0,0,2980,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
지방도,제 57 호선,0,0,0,0,0,7612,0,4265,0,0,0,0,0,0,0,0,0,0,2025-06-05
지방도,제 334 호선,0,0,0,0,0,3900,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
지방도,제 23 호선,0,0,0,0,0,0,0,12001,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2 노선,0,0,0,0,0,0,0,0,0,3480,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도86 노선,0,0,0,0,0,3194,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도92 노선,0,0,0,0,0,2808,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도94 노선,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도95 노선,0,0,0,0,0,1814,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도96 노선,0,0,0,0,0,418,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도140 노선,0,0,0,0,0,7940,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도141 노선,0,0,0,0,0,680,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도142 노선,0,0,0,0,0,5930,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도143 노선,0,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도144 노선,0,0,0,1381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도145 노선,0,0,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도146 노선,0,0,0,1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도147 노선,0,0,0,0,0,739,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도148 노선,0,0,0,1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도149 노선,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도150 노선,0,0,0,1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도151 노선,0,0,0,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도152 노선,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도153 노선,0,0,0,1614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도154 노선,0,0,0,1631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도155 노선,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도157 노선,0,0,0,2949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도159 노선,0,0,0,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도160 노선,0,0,0,0,0,5019,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도161 노선,0,0,0,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도162 노선,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도158 노선,0,0,0,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1 노선,0,0,0,0,0,0,0,0,0,5775,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도20 노선,0,0,0,0,0,0,0,3750,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도21 노선,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도22 노선,0,0,0,0,0,0,0,2344,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도23 노선,0,0,0,0,0,851,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도25 노선,0,0,0,0,0,0,0,1992,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도27 노선,0,0,0,0,0,1860,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도28 노선,0,0,0,0,0,0,0,2605,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도3 노선,0,0,0,0,0,0,0,0,0,9468,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도26 노선,0,0,0,0,0,1850,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도81 노선,0,0,0,0,0,2365,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도80 노선,0,0,0,0,0,3100,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도82 노선,0,0,0,0,0,765,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도83 노선,0,0,0,0,0,1425,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도84 노선,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도88 노선,0,0,0,0,0,705,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도85 노선,0,0,0,1450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도87 노선,0,0,0,0,0,1905,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도89 노선,0,0,0,0,0,1934,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도90 노선,0,0,0,0,0,1396,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도91 노선,0,0,0,0,0,3862,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도93 노선,0,0,0,0,0,1230,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1088 노선,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2001 노선,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2002 노선,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도454 노선,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도470 노선,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도474 노선,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도476 노선,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도478 노선,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도479 노선,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도480 노선,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도483 노선,0,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도485 노선,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도486 노선,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도487 노선,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2005 노선,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2006 노선,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2008 노선,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2009 노선,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도489 노선,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도490 노선,0,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도492 노선,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도495 노선,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도496 노선,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도498 노선,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도500 노선,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2014 노선,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2015 노선,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2016 노선,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2017 노선,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2018 노선,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도501 노선,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도502 노선,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도801 노선,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도803 노선,0,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도804 노선,0,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도805 노선,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2020 노선,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2021 노선,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2023 노선,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2026 노선,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도809 노선,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도811 노선,0,3090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도812 노선,0,0,0,1384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1000 노선,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1001 노선,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1002 노선,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1003 노선,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1004 노선,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1005 노선,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2027 노선,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2028 노선,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2033 노선,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1007 노선,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1008 노선,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1009 노선,0,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1012 노선,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1013 노선,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1014 노선,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1015 노선,1524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2034 노선,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2035 노선,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2036 노선,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2037 노선,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1018 노선,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1020 노선,0,1571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1021 노선,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1024 노선,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1026 노선,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1028 노선,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1029 노선,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2038 노선,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2039 노선,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2040 노선,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2041 노선,1373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2042 노선,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2043 노선,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도212 노선,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도218 노선,0,0,0,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도219 노선,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도225 노선,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도227 노선,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도233 노선,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도237 노선,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2044 노선,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2045 노선,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2046 노선,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도2047 노선,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도200 노선,0,3060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도201 노선,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도206 노선,0,0,0,1330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도207 노선,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도210 노선,0,0,0,140,0,96,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도216 노선,0,0,0,212,0,215,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도223 노선,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도224 노선,0,0,0,1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도229 노선,0,0,0,1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도231 노선,0,0,0,1662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도235 노선,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도239 노선,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도242 노선,0,0,0,6517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도439 노선,0,2244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도240 노선,0,0,0,1655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도243 노선,0,0,0,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도411 노선,0,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도414 노선,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도415 노선,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도417 노선,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도419 노선,0,0,0,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도488 노선,0,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도810 노선,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1016 노선,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1019 노선,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1030 노선,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1031 노선,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1032 노선,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도426 노선,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도431 노선,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도433 노선,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1033 노선,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1034 노선,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1035 노선,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1036 노선,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1037 노선,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1038 노선,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1040 노선,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1042 노선,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1043 노선,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1045 노선,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1046 노선,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1048 노선,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1050 노선,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1052 노선,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1053 노선,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1054 노선,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1055 노선,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1056 노선,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1057 노선,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1061 노선,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1063 노선,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1065 노선,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1067 노선,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1068 노선,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1070 노선,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1072 노선,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1075 노선,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1076 노선,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1078 노선,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1079 노선,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1080 노선,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1081 노선,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1082 노선,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1083 노선,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도1085 노선,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도408 노선,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도409 노선,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도410 노선,0,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도412 노선,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도413 노선,0,0,0,3698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도416 노선,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도418 노선,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도440 노선,0,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도441 노선,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도442 노선,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도443 노선,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
시도,성남 시도444 노선,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-05
