시설물명,위도,경도,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,발생건수,행정동,어린이비율,안전점수
중원초등학교,37.437855,127.167857,0,5,12,0,15,18,0,1,0,6,상대원1동,0.071,49.57
중부초등학교,37.451546,127.164951,2,19,25,2,26,27,4,1,2,1,은행1동,0.0727,73.48
구미초등학교,37.337756,127.118398,6,17,27,1,30,5,17,1,6,6,구미동,0.0922,99.12
돌마초등학교,37.409099,127.130378,4,7,10,2,8,14,5,1,5,7,야탑2동,0.1132,64.42
분당초등학교,37.378988,127.129653,2,3,12,2,11,4,5,1,3,12,서현1동,0.1205,57.91
하탑초등학교,37.407326,127.126613,6,6,23,2,14,13,7,1,5,13,야탑2동,0.1132,69.91
성남은행초등학교,37.461002,127.170901,3,10,2,1,23,11,1,1,3,7,은행2동,0.055,59.05
성남중앙초등학교,37.436255,127.143529,6,16,13,5,13,16,5,1,6,20,성남동,0.0513,65.79
단남초등학교,37.442905,127.161374,5,17,30,10,21,38,15,1,6,15,금광1동,0.1452,79.87
대원초등학교,37.436671,127.155099,1,4,23,1,8,5,2,1,2,12,상대원2동,0.0625,54.51
대일초등학교,37.438468,127.164185,1,6,15,1,15,37,1,1,1,10,상대원3동,0.0529,48.16
성남제일초등학교,37.438906,127.149609,4,30,34,5,70,16,12,0,4,10,중앙동,0.1149,100.0
성남북초등학교,37.4515,127.151474,4,22,22,6,28,23,10,3,5,10,산성동,0.0697,85.1
성남수정초등학교,37.436212,127.132786,5,5,31,0,8,33,6,1,5,12,수진2동,0.0538999999999999,65.18
수진초등학교,37.444944,127.133465,6,18,26,1,38,40,8,4,5,21,태평3동,0.0521,82.98
단대초등학교,37.453611,127.157748,2,15,22,3,13,23,5,1,5,7,단대동,0.0796,69.46
금상초등학교,37.443599,127.165995,5,10,8,8,15,41,12,2,3,4,금광1동,0.1452,68.6
상원초등학교,37.453884,127.162776,4,15,27,4,13,28,5,2,4,4,은행2동,0.055,72.42
서현초등학교,37.382576,127.12855,4,8,10,1,13,11,2,1,5,3,서현1동,0.1205,66.02
안말초등학교,37.393154,127.125984,7,6,24,2,15,15,11,1,7,4,이매1동,0.1265,82.02
야탑초등학교,37.416616,127.125627,6,3,21,6,15,11,7,1,6,3,야탑1동,0.0957,69.02
이매초등학교,37.39721,127.126493,3,2,11,3,5,15,4,1,3,5,이매1동,0.1265,56.09
수내초등학교,37.367765,127.124663,3,6,11,1,7,14,9,2,3,4,수내3동,0.1413,70.01
성남동초등학교,37.449215,127.162178,1,16,15,0,18,25,4,1,1,7,금광2동,0.0669,64.27
태평초등학교,37.444953,127.131694,9,19,32,2,31,38,10,4,9,28,태평3동,0.0521,90.42
성수초등학교,37.433766,127.127238,3,5,8,5,3,29,3,1,3,123,수진2동,0.0538999999999999,0.0
금빛초등학교,37.447331,127.140567,5,17,22,2,22,64,3,1,5,13,태평4동,0.0576999999999999,64.1
성남초등학교,37.446085,127.144145,7,12,30,3,16,40,5,2,5,12,태평4동,0.0576999999999999,71.03
중탑초등학교,37.413924,127.139686,7,14,45,2,12,13,7,1,7,3,야탑3동,0.0905,88.44
초림초등학교,37.376826,127.117592,0,2,7,1,12,13,3,1,0,3,수내1동,0.1251,51.63
미래유치원,37.452885,127.150066,2,14,14,4,20,18,6,2,2,17,산성동,0.0697,62.89
성체유치원,37.439656,127.137203,3,3,12,2,13,36,3,0,2,17,수진1동,0.0347,43.6
신흥성모유치원,37.449077,127.143242,11,14,26,4,28,51,7,1,9,5,신흥2동,0.1299,84.79
은서유치원,37.443605,127.134977,5,9,13,3,29,36,7,2,5,47,태평3동,0.0521,52.57
선경유치원,37.450411,127.162262,1,17,27,3,22,25,6,2,1,11,금광2동,0.0669,69.07
예원유치원,37.435032,127.143201,5,12,12,2,14,17,5,1,5,10,성남동,0.0513,67.13
다솜유치원,37.447962,127.163685,3,15,11,1,19,35,4,1,3,3,금광2동,0.0669,66.06
아름다운유치원,37.367591,127.125773,3,6,10,1,6,14,9,2,3,4,수내3동,0.1413,69.56
이솔유치원,37.352756,127.112602,5,8,12,2,14,9,5,1,5,4,금곡동,0.0935,69.2
뽀뽀뽀유치원,37.415425,127.138017,6,14,39,2,12,9,4,1,6,3,야탑3동,0.0905,82.03
꾸러기유치원,37.403847,127.127335,3,4,19,1,10,9,4,0,3,4,이매1동,0.1265,61.64
즐거운유치원,37.351408,127.111941,4,7,12,4,15,14,5,0,4,14,금곡동,0.0935,57.57
혜성유치원,37.444509,127.160252,4,6,20,6,10,39,13,1,10,15,금광1동,0.1452,71.68
산성어린이집,37.453007,127.150387,2,15,14,4,20,19,7,2,2,17,산성동,0.0697,64.61
성남어린이집,37.447702,127.141485,8,19,27,4,30,67,5,3,6,10,태평4동,0.0576999999999999,77.97
성현어린이집,37.438454,127.138715,4,3,7,2,12,33,3,0,3,15,수진1동,0.0347,45.55
신흥제2어린이집,37.449202,127.144413,10,11,27,6,22,38,9,1,8,3,신흥2동,0.1299,83.02
리플플러스어린이집,37.44181,127.128384,13,3,2,7,4,33,9,0,9,18,태평1동,0.0358,59.46
한양어린이집,37.435594,127.1281,2,6,12,4,5,36,2,1,2,97,수진2동,0.0538999999999999,9.66
신흥제3어린이집,37.443531,127.148854,5,13,23,4,12,30,6,0,5,5,신흥3동,0.0434,67.46
아이세상 어린이집,37.4422,127.134779,2,8,17,5,22,37,5,0,2,45,태평3동,0.0521,37.67
중앙동어린이집,37.442671,127.156555,6,7,19,2,14,35,6,0,9,43,중앙동,0.1149,54.94
금광2동제2어린이집,37.448432,127.163031,2,16,14,0,19,33,4,1,2,3,금광2동,0.0669,66.69
하대원어린이집,37.427838,127.149429,3,1,0,2,4,18,3,0,2,4,하대원동,0.085,47.24
서현어린이집,37.382447,127.126079,1,7,8,2,12,12,3,1,1,12,서현1동,0.1205,53.24
늘사랑어린이집,37.408334,127.122855,4,3,11,1,9,9,4,0,4,4,야탑2동,0.1132,60.27
수내동어린이집,37.379099,127.114714,4,1,3,2,4,15,3,0,4,3,수내1동,0.1251,53.53
예림어린이집,37.450823,127.157599,1,22,23,2,16,27,6,0,4,7,단대동,0.0796,72.7
성남혜은학교,37.450396,127.153922,5,21,18,5,24,26,7,3,6,3,단대동,0.0796,84.97
케이디엘피어학원,37.389127,127.124549,7,7,16,2,15,11,10,0,9,7,이매1동,0.1265,79.19
