구 분,기관명,소 재 지,관할구역,전화번호,데이터기준일자
분당구,성남교육지원청,경기도 성남시 분당구 양현로 20,성남시,031-780-2500,2025-11-26
수정구,성남세무서,경기도 성남시 수정구 희망로 480,"성남시 수정구, 중원구",031-730-6200,2025-11-26
분당구,분당세무서,경기도 성남시 분당구 분당로 23,성남시 분당구,031-219-9200,2025-11-26
법원(지원),수원지방법원성남지원,경기도 성남시 수정구 산성대로 451,성남시,031-737-1114,2025-11-26
등기소,성남지원등기소,경기도 성남시 수정구 산성대로 451,성남시,1544-0773,2025-11-26
등기소,분당등기소,경기도 성남시 분당구 불정로 406번길 21,성남시,1544-0773,2025-11-26
검찰(지청),수원지방검찰청성남지청,경기도 성남시 수정구 산성대로 451,성남시,031-739-4301,2025-11-26
수정구,성남수정경찰서,경기도 성남시 성남대로 1259,수정구,031-182,2025-11-26
수정구,수진지구대,경기도 성남시 수정구 모란로 1,"태평1동, 수진2동",031-750-4020,2025-11-26
수정구,신흥지구대,경기도 성남시 수정구 시민로 150,"신흥1동, 신흥2동, 신흥3동",031-750-4030,2025-11-26
수정구,고등파출소,경기도 성남시 수정구 고등공원로 47,"신촌동, 오야동 등 9개동",031-750-4050,2025-11-26
수정구,복정파출소,경기도 성남시 수정구 복정로 36,복정동,031-750-4060,2025-11-26
수정구,산성파출소,경기도 성남시 수정구 수정남로 317,산성동,031-750-4010,2025-11-26
수정구,중앙파출소,경기도 성남시 수정구 수정로 145,"태평2동, 태평3동",031-750-4040,2025-11-26
수정구,태평4파출소,경기도 성남시 수정구 남문로 128,태평4동,031-750-4034,2025-11-26
수정구,수진1파출소,경기도 성남시 수정구 탄리로 21,수진1동,031-750-4024,2025-11-26
수정구,성남위례파출소,경기도 성남시 수정구 위례동로 135,"위례동, 창곡동",031-750-4070,2025-11-26
수정구,단대파출소,경기도 성남시 수정구 단대로 15,"양지동, 단대동",031-750-4010,2025-11-26
중원구,성남중원경찰서,경기도 성남시 중원구 금빛로2번길10,중원구,031-182,2025-11-26
중원구,성호지구대,경기도 성남시 중원구 산성대로 190-6,성남동,031-8036-5403,2025-11-26
중원구,금광지구대,경기도 성남시 중원구 산성대로408번길 26-1,"금광1동, 금광2동",031-8036-5413,2025-11-26
중원구,은행파출소,경기도 성남시 중원구 은행로 25번길 14,"은행1동, 은행2동",031-8036-5443,2025-11-26
중원구,대원파출소,경기도 성남시 중원구 둔촌대로 439,"상대원1동, 상대원 3동",031-8036-5423,2025-11-26
중원구,상대원2파출소,경기도 성남시 중원구 희망로 373,"상대원2동, 중앙동",031-8036-5433,2025-11-26
중원구,도촌파출소,경기도 성남시 중원구 도촌북로 43,"도촌동,하대원동,여수동,갈현동","	031-8036-5453",2025-11-26
중원구,공단치안센터,경기도 성남시 중원구 갈마치로 259,상대원1동(성남산업단지),031-747-0112,2025-11-26
중원구,하대원치안센터,경기도 성남시 중원구 둔촌대로217번길 3,하대원동,031-752-3354,2025-11-26
분당구,분당경찰서,경기도 성남시 분당구 정자일로 165,분당구,031-182,2025-11-26
분당구,야탑지구대,경기도 성남시 분당구 야탑로 76,"야탑1동, 야탑2동, 야탑3동",031-736-6113,2025-11-26
분당구,서현지구대,경기도 성남시 분당구 중앙공원로 31번길 30,"서현1동, 서현2동",031-736-6124,2025-11-26
분당구,금곡지구대,경기도 성남시 분당구 성남대로 171번길 12,"정자1동,정자2동,정자3동금곡동, 구미1동",031-736-6135,2025-11-26
분당구,동판교파출소,경기도 성남시 분당구 동판교로 266번길 24,"삼평동, 백현동",031-736-6143,2025-11-26
분당구,서판교파출소,경기도 성남시 분당구 운중로 146번길 6,"운중동, 판교동",031-736-6154,2025-11-26
분당구,수내파출소,경기도 성남시 분당구 불정로 253,"수내1동,수내2동,수내3동",031-736-6162,2025-11-26
분당구,구미파출소,경기도 성남시 분당구 구미로 107,구미동,031-736-6173,2025-11-26
수정구,성남소방서,경기도 성남시 수정구 제일로 111,"수정구, 중원구 전체",031-720-0212,2025-11-26
수정구,119구조대,경기도 성남시 수정구 제일로 111,"수정구, 중원구 전체",031-720-0453,2025-11-26
수정구,119구급대,경기도 성남시 수정구 제일로 111,"수정구, 중원구 전체",031-720-0462,2025-11-26
수정구,하대원119안전센터,경기도 성남시 중원구 마지로 64,"성남동, 수진1ㆍ2동, 하대원동, 여수동",031-720-0505,2025-11-26
수정구,신흥119안전센터,경기도 성남시 수정구 시민로 151,"신흥1ㆍ3동 , 중앙동 , 태평2동 , 태평4동",031-720-0511~5,2025-11-26
수정구,상대원119안전센터,경기도 성남시 중원구 둔촌대로 469,"상대원1ㆍ2ㆍ3동, 하대원동, 갈현동, 여수동, 도촌동",031-720-0532,2025-11-26
수정구,단대119안전센터,경기도 성남시 수정구 논골로 11번길 7-2,"단대동, 양지동, 은행1ㆍ2동, 금광1ㆍ2동",031-720-0522,2025-11-26
수정구,위례119안전센터,경기도 성남시 수정구 헌릉로 1003,"산성동, 복정동, 위례동, 신흥2동",031-720-0542,2025-11-26
수정구,태평119안전센터,경기도 성남시 수정구 성남대로 1312,태평1ㆍ3동,031-720-0553,2025-11-26
수정구,고등119안전센터,경기도 성남시 수정구 대왕판교로 931,"신촌동, 오야동, 심곡동, 시흥동, 금토동, 사송동, 고등동, 상적동, 둔전동",031-720-0565,2025-11-26
분당구,분당소방서,경기도 성남시 분당구 양현로 14,분당구 전체,031-8018-3114,2025-11-26
분당구,분당119구조대,경기도 성남시 분당구 성남대로779번길 12,분당구 전체,031-8018-3451~5,2025-11-26
분당구,분당119구급대,경기도 성남시 분당구 양현로 14,분당구 전체,031-8018-3461~5,2025-11-26
분당구,서현119안전센터,경기도 성남시 분당구 양현로 14,"분당동, 서현1,2동, 수내1,2동, 이매1동, 율동",031-8018-3501~8,2025-11-26
분당구,판교119안전센터,경기도 성남시 분당구 대왕판교로 644번길 62,"판교동, 운중동, 백현동, 삼평동",031-8018-3511~4,2025-11-26
분당구,수내119안전센터,경기도 성남시 분당구 백현로 241,"수내3동, 정자1,2,3동",031-8018-3521~4,2025-11-26
분당구,야탑119안전센터,경기도 성남시 분당구 양현로 485,"야탑1,2,3동, 이매2동",031-8018-3531~4,2025-11-26
분당구,구미119안전센터,경기도 성남시 분당구 돌마로 138,"구미동, 금곡동, 동원동",031-8018-3551~7,2025-11-26
분당구,서판교119안전센터,경기도 성남시 분당구 운중로 88,"운중동, 석운동, 대장동, 하산운동",031-8018-3561~7,2025-11-26
